ProjectCode,ReportMonth,State,OriginalCost,RevisedCost,Expenditure,Physical Progress,Agency,DateInconsistency,ProjectAgeDays,ApprovalToStartDays,CurrentExpenditureRatio,RobustCurrentExpenditurePct,RobustCurrentGap,HasRevisedCost,HasRevisedDoc,ProgressVelocity,ProgressScheduleGap,ExpenditureProgressGap,CostGrowth,ScheduleElapsedRatio,RemainingPlannedDays,ElapsedDays,PlannedDurationDays,ProgressBehindSchedule10,ProgressBehindSchedule20,ProgressBehindSchedule30,NegativeProgressVelocity,NoProgress,LateStageLowProgress,ExpenditureAhead10,ExpenditureAhead20,ExpenditureAhead30,OverallRiskEvent
400139,2026-04-01,Jharkhand,861.06,625.4,455.95,47.95,Ministry of Coal,False,2069.0,0.0,72.9053405820275,72.9053405820275,-24.955340582027503,1,0,,,24.955340582027503,,,-2069.0,2069.0,0.0,0,0,0,0,0,0,1,1,0,1
400141,2026-04-01,Odisha,4103.0,5677.4,4887.6,94.2,National Aluminium Company Limited [NALCO],False,3287.0,0.0,86.08870257512243,86.08870257512243,8.111297424877577,1,1,,,-8.111297424877577,,,-3287.0,3287.0,0.0,0,0,0,0,0,0,0,0,0,0
400142,2026-04-01,Jharkhand,2242.9,2242.9,1365.83,87.0,NLC India Limited [NLCIL],False,2343.0,1340.0,60.89571536849614,60.89571536849614,26.10428463150386,0,0,,-87.8507462686567,-26.10428463150386,,1.748507462686567,-1003.0,2343.0,1340.0,1,1,1,0,0,0,0,0,0,0
400144,2026-04-01,Chhattisgarh,2310.12,2310.12,113.83,11.81,South Eastern Coalfields Limited [SECL],False,1947.0,0.0,4.927449656294911,4.927449656294911,6.8825503437050894,0,0,,,-6.8825503437050894,,,-1947.0,1947.0,0.0,0,0,0,0,0,0,0,0,0,0
400148,2026-04-01,Madhya Pradesh,869.44,869.44,325.4,75.15,Ministry of Coal,False,3683.0,0.0,37.4263894000736,37.4263894000736,37.7236105999264,0,1,,,-37.7236105999264,,,-3683.0,3683.0,0.0,0,0,0,0,0,0,0,0,0,0
400149,2026-04-01,Chhattisgarh,2309.8,2309.8,993.79,55.95,South Eastern Coalfields Limited [SECL],False,2069.0,0.0,43.02493722400207,43.02493722400207,12.92506277599793,0,0,,,-12.92506277599793,,,-2069.0,2069.0,0.0,0,0,0,0,0,0,0,0,0,0
400150,2026-04-01,Jharkhand,7254.37,7254.37,1688.4,40.21,Ministry of Coal,False,2069.0,0.0,23.274247108983968,23.274247108983968,16.935752891016033,0,0,,,-16.935752891016033,,,-2069.0,2069.0,0.0,0,0,0,0,0,0,0,0,0,0
400151,2026-04-01,Jharkhand,778.8,778.8,605.7,71.38,Ministry of Coal,False,1735.0,0.0,77.77349768875193,77.77349768875193,-6.3934976887519355,0,0,,,6.393497688751936,,,-1735.0,1735.0,0.0,0,0,0,0,0,0,0,0,0,1
400153,2026-04-01,Jharkhand,1020.42,1020.42,84.94,22.84,Ministry of Coal,False,1916.0,0.0,8.32402344132808,8.32402344132808,14.51597655867192,0,0,,,-14.51597655867192,,,-1916.0,1916.0,0.0,0,0,0,0,0,0,0,0,0,0
400154,2026-04-01,Jharkhand,713.35,713.35,236.58,10.19,Ministry of Coal,False,1977.0,0.0,33.16464568584846,33.16464568584846,-22.974645685848465,0,0,,,22.974645685848465,,,-1977.0,1977.0,0.0,0,0,0,0,0,0,1,1,0,0
400155,2026-04-01,Jharkhand,2898.28,2898.28,185.19,28.85,Ministry of Coal,False,1796.0,0.0,6.38965179347751,6.38965179347751,22.46034820652249,0,0,,,-22.46034820652249,,,-1796.0,1796.0,0.0,0,0,0,0,0,0,0,0,0,1
400156,2026-04-01,Jharkhand,5136.15,5136.15,1326.01,44.45,Ministry of Coal,False,2251.0,0.0,25.81719770645328,25.81719770645328,18.632802293546725,0,0,,,-18.632802293546725,,,-2251.0,2251.0,0.0,0,0,0,0,0,0,0,0,0,0
