ProjectCode,ProjectName,ReportMonth,ActualOutcome,PredictedRisk,Feature,SHAPValue,Impact,Rank
400136,SANGHMITRA OC,2026-04-01,0,0.1455,numeric__ScheduleElapsedRatio,0.158573,Increases Risk,8
400136,SANGHMITRA OC,2026-04-01,0,0.1455,numeric__PlannedDurationDays,-0.144346,Decreases Risk,9
400136,SANGHMITRA OC,2026-04-01,0,0.1455,numeric__RobustCurrentGap,-0.114906,Decreases Risk,10
400136,SANGHMITRA OC,2026-05-01,0,0.1023,categorical__State_Jharkhand,0.532573,Increases Risk,1
400136,SANGHMITRA OC,2026-05-01,0,0.1023,numeric__CurrentExpenditureRatio,-0.491241,Decreases Risk,2
400136,SANGHMITRA OC,2026-05-01,0,0.1023,numeric__PlannedDurationDays,-0.477309,Decreases Risk,3
400136,SANGHMITRA OC,2026-05-01,0,0.1023,numeric__RobustCurrentExpenditurePct,-0.458647,Decreases Risk,4
400136,SANGHMITRA OC,2026-05-01,0,0.1023,categorical__Agency_National Highways Authority of India [NHAI],-0.417815,Decreases Risk,5
400136,SANGHMITRA OC,2026-05-01,0,0.1023,numeric__Expenditure,0.37921,Increases Risk,6
400136,SANGHMITRA OC,2026-05-01,0,0.1023,categorical__Agency_Ministry of Coal,0.258092,Increases Risk,7
400136,SANGHMITRA OC,2026-05-01,0,0.1023,numeric__Prev_Expenditure,-0.221209,Decreases Risk,8
400136,SANGHMITRA OC,2026-05-01,0,0.1023,numeric__ProjectAgeDays,-0.214989,Decreases Risk,9
400136,SANGHMITRA OC,2026-05-01,0,0.1023,numeric__CurrentGapVsPreviousGap,0.186022,Increases Risk,10
400139,KOTRE BASANTPUR PACHMO OCP,2026-04-01,1,0.5444,categorical__State_Jharkhand,1.068548,Increases Risk,1
400139,KOTRE BASANTPUR PACHMO OCP,2026-04-01,1,0.5444,numeric__PlannedDurationDays,-0.511394,Decreases Risk,2
400139,KOTRE BASANTPUR PACHMO OCP,2026-04-01,1,0.5444,categorical__Agency_Ministry of Coal,0.438791,Increases Risk,3
400139,KOTRE BASANTPUR PACHMO OCP,2026-04-01,1,0.5444,categorical__Agency_National Highways Authority of India [NHAI],-0.210673,Decreases Risk,4
400139,KOTRE BASANTPUR PACHMO OCP,2026-04-01,1,0.5444,numeric__RobustCurrentGap,0.174422,Increases Risk,5
400139,KOTRE BASANTPUR PACHMO OCP,2026-04-01,1,0.5444,numeric__ProgressScheduleGap,0.168129,Increases Risk,6
400139,KOTRE BASANTPUR PACHMO OCP,2026-04-01,1,0.5444,numeric__CurrentExpenditureRatio,0.156417,Increases Risk,7
400139,KOTRE BASANTPUR PACHMO OCP,2026-04-01,1,0.5444,numeric__RobustCurrentExpenditurePct,0.13095,Increases Risk,8
400139,KOTRE BASANTPUR PACHMO OCP,2026-04-01,1,0.5444,numeric__ScheduleElapsedRatio,0.115515,Increases Risk,9
400139,KOTRE BASANTPUR PACHMO OCP,2026-04-01,1,0.5444,numeric__RevisedCost,-0.112708,Decreases Risk,10
400139,KOTRE BASANTPUR PACHMO OCP,2026-05-01,0,0.192,categorical__State_Jharkhand,0.97675,Increases Risk,1
400139,KOTRE BASANTPUR PACHMO OCP,2026-05-01,0,0.192,numeric__PlannedDurationDays,-0.507522,Decreases Risk,2
400139,KOTRE BASANTPUR PACHMO OCP,2026-05-01,0,0.192,numeric__Prev_RobustGap,-0.463454,Decreases Risk,3
400139,KOTRE BASANTPUR PACHMO OCP,2026-05-01,0,0.192,categorical__Agency_Ministry of Coal,0.432031,Increases Risk,4
400139,KOTRE BASANTPUR PACHMO OCP,2026-05-01,0,0.192,categorical__Agency_National Highways Authority of India [NHAI],-0.428299,Decreases Risk,5
400139,KOTRE BASANTPUR PACHMO OCP,2026-05-01,0,0.192,numeric__CurrentGapVsPreviousGap,-0.306247,Decreases Risk,6
400139,KOTRE BASANTPUR PACHMO OCP,2026-05-01,0,0.192,numeric__Prev_ExpenditureRatio,-0.127844,Decreases Risk,7
400139,KOTRE BASANTPUR PACHMO OCP,2026-05-01,0,0.192,numeric__ProjectAgeDays,0.109882,Increases Risk,8
400139,KOTRE BASANTPUR PACHMO OCP,2026-05-01,0,0.192,numeric__ElapsedDays,0.102188,Increases Risk,9
400139,KOTRE BASANTPUR PACHMO OCP,2026-05-01,0,0.192,numeric__missingindicator_Prev_Expenditure,0.086146,Increases Risk,10
400160,RAJRAPPA RCE OCP,2026-04-01,1,0.2923,categorical__State_Jharkhand,0.640244,Increases Risk,1
400160,RAJRAPPA RCE OCP,2026-04-01,1,0.2923,categorical__Agency_National Highways Authority of India [NHAI],-0.251994,Decreases Risk,2
400160,RAJRAPPA RCE OCP,2026-04-01,1,0.2923,numeric__CurrentExpenditureRatio,-0.244718,Decreases Risk,3
