feature,mean_abs_shap
"categorical__Agency_Department of Water Resources, River Development,",0.0
categorical__Agency_Department of Water Resources-MH,0.0
categorical__Agency_Department of Water Resources-PB,0.0
categorical__Agency_Department of water resources-MH - II,0.0
categorical__Agency_ECL - CIL,0.0
categorical__Agency_ministry of housing and urban affairs,0.0
numeric__CostGrowth,0.0
categorical__Agency_Singareni Collieries Company Limited [SCCL],0.0
categorical__Agency_Eastern Railway [ER] - I,0.0
categorical__Agency_Employee's State Insurance Company [ESIC],0.0
categorical__Agency_GM/C/ NFR,0.0
categorical__Agency_Gujarat Metro Rail Corporation Limited [GMRCL],0.0
categorical__Agency_Gurugram Metro Rail Limited [GMRL],0.0
categorical__Agency_Hindustan Copper Limited [HCL],0.0
categorical__Agency_Hindustan Petroleum Corporation Limited,0.0
categorical__Agency_Hindustan Petroleum Corporation Limited [HPCL],0.0
categorical__Agency_INDIAN INSTITUTE OF TECHNOLOGY PALAKKAD,0.0
categorical__Agency_IOCL,0.0
"categorical__Agency_Indian Institute of Management, Jammu",0.0
"categorical__Agency_Indian Institute of Management, Sirmaur",0.0
"categorical__Agency_Indian Institute of Technology, Bhilai",0.0
"categorical__Agency_Indian Institute of Technology, Bhubaneshwar",0.0
"categorical__Agency_Indian Institute of Technology, Hyderabad",0.0
"categorical__Agency_Indian Institute of Technology, Indore",0.0
"categorical__Agency_Indian Institute of Technology, Mandi",0.0
categorical__Agency_Indian Oil Corporation Limited [IOCL],0.0
categorical__Agency_Indian Port Rail & Ropeway Corporation Ltd. [IPRCL],0.0
categorical__Agency_Indian Railway,0.0
categorical__Agency_Indian Railway Construction International Limited [IRCON],0.0
"categorical__Agency_Indian intitue of Management, Amritsar",0.0
categorical__Agency_Irrigation & Water Resources-UP,0.0
categorical__Agency_Irrigation and CAD-TG,0.0
categorical__Agency_Irrigation-UK,0.0
categorical__Agency_Jaipur Metro Rail Corporation,0.0
categorical__Agency_Karnataka Rail Infrastructure Development Company Limited [K-RIDE],0.0
categorical__Agency_M/S SRC company Infra Private Limited,0.0
categorical__Agency_MCL - CIL,0.0
categorical__Agency_MIS MoCoal Integration Logins,0.0
categorical__Agency_MRIDC,0.0
categorical__Agency_Madhya Pradesh Metro Rail Co Limited [MPMRCL],0.0
categorical__Agency_Mahanadi Coalfields Limited [MCL],0.0
categorical__Agency_Maharashtra Metro Rail Corporation Limited [MMRCL],0.0
categorical__Agency_Mangalore Refinary and Petrochemicals Limited,0.0
categorical__Agency_South Central Railway [SCR] - II,0.0
"categorical__Agency_Metro Railway, Kolkata",0.0
categorical__Agency_Northeast Frontier Railway [NFR],0.0
categorical__Agency_Northen Railway [NR],0.0
categorical__Agency_Northern Coalfields Limited [NCL],0.0
categorical__Agency_Ministry of Petroleum and Natural Gas,0.0
categorical__Agency_Ministry of Railways,0.0
categorical__Agency_Northern Railways,0.0
categorical__Agency_Oil and Natural Gas Corporation Limited [ONGC],0.0
categorical__Agency_Mumbai Metro Rail Corporation Limited [MMRC],0.0
categorical__Agency_Mumbai Rail Vikas Corporation Ltd.[MRVC],0.0
categorical__Agency_NER,0.0
categorical__Agency_PCE/NCR,0.0
categorical__Agency_Water Resources-AP,0.0
categorical__Agency_Water Resources-CT,0.0
categorical__Agency_Water Resources-MP,0.0
categorical__Agency_Water Resources-OR,0.0
categorical__Agency_West Central Railway [WCR] - II,0.0
categorical__Agency_Western Railway,0.0
categorical__Agency_Western Railway WR - II,0.0
numeric__ExpenditureAhead10,0.0
numeric__ExpenditureAhead20,0.0
numeric__ExpenditureAhead30,0.0
"categorical__State_Andaman &Nicobar",0.0
categorical__Agency_Western Railway [WR] - II,0.0
categorical__Agency_South East Central Railway [SECR] - II,0.0
categorical__Agency_NICDC,0.0
categorical__Agency_NIT Mizoram,0.0
categorical__Agency_NIT Patna,0.0
categorical__Agency_NIT Sikkim,0.0
categorical__Agency_NLC India Limited [NLCIL],0.0
categorical__Agency_NRL,0.0
"categorical__Agency_Narmada and Water Resources, Water Supply and Kalpsar Department-GJ",0.0
categorical__Agency_National Aluminium Company Limited [NALCO],0.0
categorical__Agency_National Buildings Construction Corporation [NBCC],0.0
categorical__Agency_National Communication Academy - Finance [Erstwhile NICF],0.0
categorical__Agency_National High Speed Rail Corporation [NHSRC],0.0
categorical__Agency_National Highways & Infrastructure Development Corporation Ltd. [NHIDCL],0.0
categorical__Agency_National Hydroelectric Power Corporation Limited [NHPC],0.0
categorical__Agency_National Industrial Corridor Development Corporation,0.0
"categorical__Agency_National Institute of Technology, Arunachal Pradesh",0.0
categorical__Agency_Tezpur University,0.0
categorical__Agency_Uttar Pradesh metro rail corporation [UPMRC],0.0
categorical__Agency_WPO/Patna,0.0
categorical__Agency_RVNL - II,0.0
categorical__Agency_Rail Land Development Authority,0.0
categorical__Agency_Central University of Punjab,0.0
"categorical__State_Dadra & NagarHaveli and Daman& Diu",0.0
categorical__Agency_Railway,0.0
categorical__Agency_South East Central Railway,0.0
categorical__Agency_South Eastern Coalfields Limited [SECL],0.0
categorical__Agency_South Eastern Railway - JH,0.0
categorical__Agency_South Eastern Railway [SER] - I,0.0
categorical__Agency_South Western Railway [SWR] - II,0.0
categorical__Agency_Southern Railway [SR] - I,0.0
categorical__Agency_Reliance Industries Ltd,0.0
categorical__Agency_Sterlite Power,0.0
categorical__Agency_THDC India Limited,0.0
categorical__Agency_PCE/WR,0.0
categorical__Agency_PMSSY AND Institute of NATIONAL Importance,0.0
categorical__Agency_Patna Metro Rail Corporation Ltd. [PMRCL],0.0
categorical__Agency_SECL - CIL,0.0
categorical__Agency_RCIL,0.0
categorical__Agency_RVNL,0.0
categorical__Agency_RVNL - I,0.0
categorical__State_Goa,0.0
categorical__Agency_SECR,0.0
categorical__Agency_Satluj Jal Vidyut Nigam [SJVN] Thermal Limited,0.0
categorical__Agency_Sikkim University,0.0
categorical__Agency_Water Resources Department-MN,0.0
categorical__State_Ladakh,0.0
categorical__State_Kerala,0.0
"categorical__Agency_National Institute of Technology, Meghalaya",0.0
"categorical__Agency_National Institute of Technology, Puducherry",0.0
categorical__Agency_National Mineral Development Corporation Limited [NMDC],0.0
"categorical__State_Multi-States(Andhra Pradesh,Bihar,Chhattisgarh,Jharkhand,Madhya Pradesh,Maharashtra,Odisha,Telangana, UttarPradesh, WestBengal)",0.0
"categorical__State_Multi-States(Andhra Pradesh,Chhattisgarh,Jharkhand,Maharashtra,Odisha)",0.0
categorical__Agency_New Mangalore Port Authority,0.0
categorical__Agency_North Central Railway,0.0
categorical__Agency_North Eastern Electric Power Corporation Limited,0.0
categorical__Agency_North Eastern Railway [NER],0.0
