ProjectCode,ProjectName,ReportMonth,OverallRiskProbability,OverallRiskPrediction,TopFactor1,TopFactor1_SHAP,TopFactor2,TopFactor2_SHAP,TopFactor3,TopFactor3_SHAP,TopFactor4,TopFactor4_SHAP,TopFactor5,TopFactor5_SHAP,RiskExplanation
618588,,2026-05-01,0.889403,1,Agency_National Highways Authority of India [NHAI],1.209868,CurrentExpenditureRatio,-0.491669,ProgressVelocity,0.290779,Physical Progress,0.22394,Expenditure,0.202365,Agency_National Highways Authority of India [NHAI]; ProgressVelocity; Physical Progress
400018,,2026-05-01,0.249385,0,ExpenditureProgressGap,-0.46275,Agency_National Highways Authority of India [NHAI],-0.411411,HasRevisedDoc,-0.391837,RobustCurrentGap,-0.384641,State_Jharkhand,0.341956,State_Jharkhand; NoProgress; ProgressVelocity
618499,,2026-05-01,0.958479,1,Agency_National Highways Authority of India [NHAI],0.782953,ProgressVelocity,0.498984,NoProgress,0.475065,CurrentExpenditureRatio,0.27199,RevisedCost,0.204115,Agency_National Highways Authority of India [NHAI]; ProgressVelocity; NoProgress
611495,,2026-04-01,0.501138,1,CurrentExpenditureRatio,0.397391,Agency_National Highways Authority of India [NHAI],-0.346749,Agency_Airport Authority of India [AAI],-0.24496,State_West Bengal,0.159882,RemainingPlannedDays,0.156057,CurrentExpenditureRatio; State_West Bengal; RemainingPlannedDays
618417,,2026-04-01,0.687166,1,Agency_National Highways Authority of India [NHAI],-0.414143,ProjectAgeDays,0.411536,ProgressVelocity,-0.340282,ProgressScheduleGap,0.244735,Agency_NHIDCL,0.244667,ProjectAgeDays; ProgressScheduleGap; Agency_NHIDCL
618795,,2026-05-01,0.799346,1,Agency_National Highways Authority of India [NHAI],1.122389,ProgressVelocity,0.23128,ExpenditureProgressGap,-0.168164,RobustCurrentGap,-0.155293,Expenditure,-0.135939,Agency_National Highways Authority of India [NHAI]; ProgressVelocity; CurrentExpenditureRatio
612748,,2026-04-01,0.687829,1,OriginalCost,0.618905,RemainingPlannedDays,0.318312,HasRevisedDoc,-0.308394,Agency_National Highways Authority of India [NHAI],-0.281325,Expenditure,0.280624,OriginalCost; RemainingPlannedDays; Expenditure
618321,,2026-05-01,0.034485,0,CurrentExpenditureRatio,-1.005055,ProjectAgeDays,-0.479486,Agency_National Highways Authority of India [NHAI],-0.471639,Physical Progress,-0.431723,Expenditure,-0.40521,NoProgress; ProgressVelocity; Agency_NHIDCL
705362,,2026-05-01,0.058292,0,RemainingPlannedDays,-0.815771,ApprovalToStartDays,-0.653382,Agency_National Highways Authority of India [NHAI],-0.566243,ProjectAgeDays,-0.204536,ExpenditureProgressGap,-0.183335,ProgressVelocity; CurrentExpenditureRatio; NoProgress
618622,,2026-05-01,0.844232,1,Agency_National Highways Authority of India [NHAI],1.08821,RemainingPlannedDays,0.395346,ExpenditureProgressGap,-0.339046,CurrentExpenditureRatio,0.323036,RobustCurrentGap,-0.233721,Agency_National Highways Authority of India [NHAI]; RemainingPlannedDays; CurrentExpenditureRatio
618713,,2026-05-01,0.744441,1,Agency_National Highways Authority of India [NHAI],1.086353,ProgressVelocity,0.342526,OriginalCost,-0.1731,CurrentExpenditureRatio,0.152883,RevisedCost,-0.130003,Agency_National Highways Authority of India [NHAI]; ProgressVelocity; CurrentExpenditureRatio
707059,,2026-04-01,0.251674,0,HasRevisedDoc,-0.495416,Agency_National Highways Authority of India [NHAI],-0.268209,State_Madhya Pradesh,-0.213917,"Agency_Medical Education, Ministry of Health and Family Welfare",-0.160409,ProgressScheduleGap,0.149951,ProgressScheduleGap; LateStageLowProgress; CurrentExpenditureRatio
701167,,2026-04-01,0.320396,0,Agency_National Highways Authority of India [NHAI],-0.443347,ExpenditureProgressGap,-0.207578,CurrentExpenditureRatio,0.200163,OriginalCost,-0.175427,ProjectAgeDays,-0.170239,CurrentExpenditureRatio; ProgressScheduleGap; Physical Progress
618756,,2026-04-01,0.646949,1,Agency_National Highways Authority of India [NHAI],0.735508,ProgressVelocity,-0.3741,CurrentExpenditureRatio,0.22104,RemainingPlannedDays,-0.182566,ExpenditureProgressGap,0.149741,Agency_National Highways Authority of India [NHAI]; CurrentExpenditureRatio; ExpenditureProgressGap
619306,,2026-05-01,0.965295,1,Agency_NHAI,0.892796,NoProgress,0.435704,Physical Progress,0.359594,ProgressVelocity,0.351358,RobustCurrentGap,0.334388,Agency_NHAI; NoProgress; Physical Progress
618240,,2026-05-01,0.245426,0,CurrentExpenditureRatio,-0.565804,Agency_National Highways Authority of India [NHAI],-0.34752,ProgressVelocity,0.265226,Expenditure,-0.2356,ProgressScheduleGap,-0.183704,ProgressVelocity; ApprovalToStartDays; ProjectAgeDays
619005,,2026-05-01,0.376965,0,CurrentExpenditureRatio,-0.616585,Physical Progress,-0.427439,Agency_National Highways Authority of India [NHAI],-0.409967,RevisedCost,0.340956,State_Jharkhand,0.330612,RevisedCost; State_Jharkhand; NoProgress
400160,,2026-05-01,0.653014,1,State_Jharkhand,0.684771,Agency_Ministry of Coal,0.681071,ProgressVelocity,-0.566076,Agency_National Highways Authority of India [NHAI],-0.473164,RobustCurrentGap,0.298183,State_Jharkhand; Agency_Ministry of Coal; RobustCurrentGap
619218,,2026-04-01,0.832012,1,Agency_National Highways Authority of India [NHAI],0.970927,ProgressVelocity,-0.425077,RevisedCost,0.254983,Physical Progress,0.212476,ExpenditureProgressGap,0.18176,Agency_National Highways Authority of India [NHAI]; RevisedCost; Physical Progress
400220,,2026-04-01,0.41804,0,ApprovalToStartDays,-0.54348,Agency_National Highways Authority of India [NHAI],-0.401293,CurrentExpenditureRatio,0.267674,Physical Progress,0.266635,Expenditure,0.201647,CurrentExpenditureRatio; Physical Progress; Expenditure
617225,,2026-04-01,0.201001,0,HasRevisedDoc,-0.403029,Agency_National Highways Authority of India [NHAI],-0.271517,Physical Progress,-0.239845,CurrentExpenditureRatio,0.220005,RobustCurrentGap,-0.144066,CurrentExpenditureRatio; RemainingPlannedDays; HasRevisedCost
618726,,2026-05-01,0.816899,1,Agency_National Highways Authority of India [NHAI],1.087512,ProgressVelocity,0.87408,ProjectAgeDays,-0.285831,Physical Progress,-0.251312,RobustCurrentGap,-0.208332,Agency_National Highways Authority of India [NHAI]; ProgressVelocity; ApprovalToStartDays
618768,,2026-04-01,0.435142,0,Agency_National Highways Authority of India [NHAI],1.120881,CurrentExpenditureRatio,-0.734986,Physical Progress,-0.468527,ProgressScheduleGap,0.361726,ProgressVelocity,-0.334234,Agency_National Highways Authority of India [NHAI]; ProgressScheduleGap; RemainingPlannedDays
400315,,2026-05-01,0.081511,0,Agency_National Highways Authority of India [NHAI],-0.457155,Physical Progress,-0.434582,HasRevisedDoc,-0.375611,NoProgress,0.340084,OriginalCost,-0.304929,NoProgress; ProgressVelocity; State_West Bengal
618231,,2026-04-01,0.645312,1,ProgressVelocity,-0.324908,Agency_National Highways Authority of India [NHAI],-0.25801,ExpenditureProgressGap,0.25306,Physical Progress,0.232988,ProjectAgeDays,0.207633,ExpenditureProgressGap; Physical Progress; ProjectAgeDays
616843,,2026-05-01,0.854183,1,Agency_North Western Railway [NWR],1.505666,ProgressVelocity,0.481764,CurrentExpenditureRatio,0.372567,Agency_National Highways Authority of India [NHAI],-0.333852,ApprovalToStartDays,-0.151299,Agency_North Western Railway [NWR]; ProgressVelocity; CurrentExpenditureRatio
618898,,2026-04-01,0.262903,0,Agency_National Highways Authority of India [NHAI],0.64784,ProjectAgeDays,-0.414326,RevisedCost,-0.366466,RobustCurrentGap,-0.189625,State_Tamil Nadu,0.187157,Agency_National Highways Authority of India [NHAI]; State_Tamil Nadu; CurrentExpenditureRatio
615858,,2026-05-01,0.433528,0,CurrentExpenditureRatio,0.445412,HasRevisedDoc,-0.435873,Agency_National Highways Authority of India [NHAI],-0.408693,Physical Progress,0.249875,ProjectAgeDays,-0.198961,CurrentExpenditureRatio; Physical Progress; OriginalCost
612827,,2026-04-01,0.255145,0,HasRevisedDoc,-0.422372,Agency_National Highways Authority of India [NHAI],-0.263523,Physical Progress,-0.224317,ProjectAgeDays,0.210063,RobustCurrentGap,-0.149059,ProjectAgeDays; OriginalCost; Agency_East Coast Railway [ECoR] - II
618785,,2026-05-01,0.927484,1,Agency_National Highways Authority of India [NHAI],0.808874,ProgressVelocity,0.524506,NoProgress,0.46089,RevisedCost,0.19907,ExpenditureProgressGap,0.173427,Agency_National Highways Authority of India [NHAI]; ProgressVelocity; NoProgress
618438,,2026-04-01,0.418724,0,ProgressVelocity,-0.403878,Agency_National Highways Authority of India [NHAI],-0.29728,RobustCurrentGap,0.293945,RevisedCost,-0.277788,ExpenditureProgressGap,0.226636,RobustCurrentGap; ExpenditureProgressGap; Agency_NHIDCL
617838,,2026-05-01,0.183269,0,Agency_National Highways Authority of India [NHAI],-0.3541,ProgressVelocity,0.327044,Physical Progress,-0.315579,ExpenditureProgressGap,-0.234284,ApprovalToStartDays,-0.198436,ProgressVelocity; CurrentExpenditureRatio; HasRevisedDoc
618395,,2026-05-01,0.657012,1,Physical Progress,-0.600929,Agency_NHIDCL,0.477953,NoProgress,0.381552,"State_Jammu andKashmir",0.368401,ProgressVelocity,0.339676,"Agency_NHIDCL; NoProgress; State_Jammu andKashmir"
400180,,2026-04-01,0.095544,0,Agency_National Highways Authority of India [NHAI],-0.415845,Physical Progress,-0.361336,ExpenditureProgressGap,-0.322399,RemainingPlannedDays,-0.198066,ProgressVelocity,-0.195503,State_West Bengal; HasRevisedDoc; State_Gujarat
709817,,2026-04-01,0.366342,0,RevisedCost,-0.286601,Agency_National Highways Authority of India [NHAI],-0.267439,ProgressVelocity,-0.24469,ProgressScheduleGap,-0.226288,RemainingPlannedDays,0.201676,RemainingPlannedDays; ProjectAgeDays; ExpenditureProgressGap
618909,,2026-04-01,0.850513,1,Agency_National Highways Authority of India [NHAI],0.97394,ProgressVelocity,-0.403852,RobustCurrentGap,0.22417,ExpenditureProgressGap,0.179961,RevisedCost,0.179257,Agency_National Highways Authority of India [NHAI]; RobustCurrentGap; ExpenditureProgressGap
618947,,2026-04-01,0.672984,1,Agency_National Highways Authority of India [NHAI],0.680162,State_Jharkhand,0.47637,ProgressVelocity,-0.362547,Expenditure,-0.198937,ProgressScheduleGap,-0.169441,Agency_National Highways Authority of India [NHAI]; State_Jharkhand; ExpenditureProgressGap
603945,,2026-04-01,0.066355,0,RemainingPlannedDays,-0.61907,RobustCurrentGap,-0.602849,Agency_National Highways Authority of India [NHAI],-0.472689,ExpenditureProgressGap,-0.377129,OriginalCost,-0.204783,HasRevisedCost; ProgressScheduleGap; CurrentExpenditureRatio
701391,,2026-04-01,0.193748,0,CurrentExpenditureRatio,-0.699287,Agency_National Highways Authority of India [NHAI],-0.485202,Physical Progress,0.309136,ExpenditureProgressGap,-0.239062,State_Maharashtra,0.207215,Physical Progress; State_Maharashtra; RobustCurrentGap
618601,,2026-05-01,0.961879,1,Agency_National Highways Authority of India [NHAI],0.802158,ProgressVelocity,0.570849,NoProgress,0.461005,RobustCurrentGap,0.433046,ExpenditureProgressGap,0.253012,Agency_National Highways Authority of India [NHAI]; ProgressVelocity; NoProgress
618846,,2026-04-01,0.69088,1,Agency_National Highways Authority of India [NHAI],0.737297,ProgressVelocity,-0.377619,OriginalCost,-0.223421,State_Tamil Nadu,0.156079,ExpenditureProgressGap,0.123704,Agency_National Highways Authority of India [NHAI]; State_Tamil Nadu; ExpenditureProgressGap
619095,,2026-04-01,0.828182,1,Agency_National Highways Authority of India [NHAI],0.870077,Expenditure,0.221601,ProgressVelocity,-0.219602,CurrentExpenditureRatio,0.204921,OriginalCost,0.13653,Agency_National Highways Authority of India [NHAI]; Expenditure; CurrentExpenditureRatio
618557,,2026-04-01,0.71682,1,Agency_National Highways Authority of India [NHAI],0.804053,ExpenditureProgressGap,-0.325943,CurrentExpenditureRatio,0.265539,ProjectAgeDays,0.256961,ProgressVelocity,-0.202487,Agency_National Highways Authority of India [NHAI]; CurrentExpenditureRatio; ProjectAgeDays
618189,,2026-05-01,0.024992,0,CurrentExpenditureRatio,-0.87759,Physical Progress,-0.714997,Agency_National Highways Authority of India [NHAI],-0.559751,NoProgress,0.419437,ProjectAgeDays,-0.380647,NoProgress; ProgressVelocity; RemainingPlannedDays
617830,,2026-04-01,0.28547,0,Agency_National Highways Authority of India [NHAI],-0.3042,OriginalCost,-0.274501,CurrentExpenditureRatio,0.266382,ApprovalToStartDays,-0.217626,ExpenditureProgressGap,0.206464,CurrentExpenditureRatio; ExpenditureProgressGap; ProjectAgeDays
609736,,2026-04-01,0.3699,0,ExpenditureProgressGap,-0.447339,Agency_National Highways Authority of India [NHAI],-0.43288,RemainingPlannedDays,0.257991,ProgressVelocity,-0.193053,Physical Progress,0.156355,RemainingPlannedDays; Physical Progress; RevisedCost
400231,,2026-04-01,0.068055,0,RevisedCost,-0.561997,OriginalCost,-0.540263,HasRevisedDoc,-0.344621,Agency_National Highways Authority of India [NHAI],-0.306031,State_Odisha,-0.21077,Expenditure; HasRevisedCost; RemainingPlannedDays
618494,,2026-05-01,0.893742,1,Agency_National Highways Authority of India [NHAI],0.846393,ProgressVelocity,0.404882,OriginalCost,-0.387456,Physical Progress,0.218777,RobustCurrentGap,0.168559,Agency_National Highways Authority of India [NHAI]; ProgressVelocity; Physical Progress
